item_id,system,latent_quality,ambiguity,difficulty_stratum,fluent_but_wrong,response_tokens,human_score,human_correct,_note
it0029,model-A,0.7063,0.4121,Q3,False,248,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0030,model-A,0.7778,0.1953,Q1 clearest,False,234,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0031,model-A,0.7014,0.3431,Q2,False,178,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0032,model-A,0.6463,0.7637,Q4 most ambiguous,False,338,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0033,model-A,0.5451,0.6162,Q4 most ambiguous,False,220,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0034,model-A,0.4283,0.1516,Q1 clearest,False,298,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0035,model-A,0.5204,0.4941,Q3,False,244,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0036,model-A,0.5255,0.3944,Q2,False,243,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0037,model-A,0.4307,0.3233,Q2,True,382,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0038,model-A,0.7118,0.3058,Q2,False,237,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0039,model-A,0.6342,0.4514,Q3,False,249,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0040,model-A,0.6527,0.3832,Q2,False,287,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0041,model-A,0.7262,0.7115,Q4 most ambiguous,True,363,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0042,model-A,0.966,0.774,Q4 most ambiguous,True,421,10.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0043,model-A,0.6944,0.5909,Q4 most ambiguous,False,256,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0044,model-A,0.8329,0.4364,Q3,True,300,10.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0045,model-A,0.6258,0.3959,Q2,True,350,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0046,model-A,0.5061,0.2637,Q1 clearest,False,211,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0047,model-A,0.7037,0.5256,Q3,False,272,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0048,model-A,0.8245,0.2605,Q1 clearest,True,365,9.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0049,model-A,0.8038,0.1121,Q1 clearest,False,322,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0050,model-A,0.5521,0.5231,Q3,False,198,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0051,model-A,0.8727,0.4868,Q3,False,288,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0052,model-A,0.5836,0.508,Q3,False,261,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0053,model-A,0.7097,0.2212,Q1 clearest,False,313,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0054,model-A,0.4686,0.59,Q4 most ambiguous,False,254,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0055,model-A,0.6329,0.3627,Q2,False,342,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0056,model-A,0.4681,0.8925,Q4 most ambiguous,False,358,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0057,model-A,0.6535,0.5679,Q4 most ambiguous,False,218,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0058,model-A,0.6249,0.3171,Q2,False,222,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0059,model-A,0.5135,0.3526,Q2,False,309,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0060,model-A,0.5381,0.4798,Q3,False,192,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0061,model-A,0.6095,0.3661,Q2,False,365,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0062,model-A,0.9565,0.5911,Q4 most ambiguous,True,470,9.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0063,model-A,0.9179,0.37,Q2,False,245,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0064,model-A,0.7251,0.3038,Q2,True,369,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0065,model-A,0.6423,0.2483,Q1 clearest,False,260,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0066,model-A,0.6318,0.3495,Q2,True,439,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0067,model-A,0.6346,0.3468,Q2,False,345,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0068,model-A,0.8054,0.2309,Q1 clearest,False,228,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0069,model-A,0.9065,0.0673,Q1 clearest,False,198,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0070,model-A,0.9149,0.0887,Q1 clearest,False,275,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0071,model-A,0.7796,0.7725,Q4 most ambiguous,True,411,9.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0072,model-A,0.5291,0.8481,Q4 most ambiguous,True,431,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0073,model-A,0.4449,0.4367,Q3,False,220,3.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0074,model-A,0.6389,0.2507,Q1 clearest,False,266,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0075,model-A,0.8912,0.0395,Q1 clearest,False,286,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0076,model-A,0.6971,0.3496,Q2,False,262,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0077,model-A,0.9161,0.0256,Q1 clearest,False,249,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0078,model-A,0.8517,0.4086,Q2,False,232,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0079,model-A,0.3155,0.6036,Q4 most ambiguous,False,220,3.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0080,model-A,0.695,0.4022,Q2,False,297,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0081,model-A,0.5432,0.3897,Q2,False,232,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0082,model-A,0.6215,0.5022,Q3,False,274,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0083,model-A,0.641,0.5281,Q3,False,257,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0084,model-A,0.7573,0.1287,Q1 clearest,True,313,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0085,model-A,0.8078,0.059,Q1 clearest,False,225,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0086,model-A,0.5478,0.2477,Q1 clearest,False,327,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0087,model-A,0.6771,0.124,Q1 clearest,False,236,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0088,model-A,0.5048,0.6773,Q4 most ambiguous,False,289,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0089,model-A,0.9009,0.1639,Q1 clearest,False,287,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0090,model-A,0.8987,0.3124,Q2,True,390,10.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0091,model-A,0.7464,0.2833,Q2,False,312,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0092,model-A,0.7512,0.5001,Q3,True,389,9.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0093,model-A,0.7403,0.5103,Q3,False,288,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0094,model-A,0.747,0.0887,Q1 clearest,False,293,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0095,model-A,0.6772,0.6116,Q4 most ambiguous,False,343,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0096,model-A,0.9024,0.3902,Q2,True,446,10.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0097,model-A,0.9044,0.3379,Q2,False,239,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0098,model-A,0.5472,0.1411,Q1 clearest,False,218,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0099,model-A,0.7723,0.4069,Q2,True,337,9.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0100,model-A,0.6685,0.1986,Q1 clearest,False,252,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0101,model-A,0.4323,0.6162,Q4 most ambiguous,False,300,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0102,model-A,0.6545,0.4408,Q3,True,331,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0103,model-A,0.6118,0.2354,Q1 clearest,False,277,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0104,model-A,0.4082,0.3814,Q2,False,217,3.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0105,model-A,0.4743,0.27,Q1 clearest,True,474,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0106,model-A,0.933,0.3538,Q2,False,359,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0107,model-A,0.4338,0.3497,Q2,False,273,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0108,model-A,0.4425,0.251,Q1 clearest,False,298,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0109,model-A,0.5653,0.206,Q1 clearest,False,259,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0110,model-A,0.6065,0.37,Q2,False,331,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0111,model-A,0.7719,0.2212,Q1 clearest,False,206,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0112,model-A,0.884,0.0,Q1 clearest,False,176,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0113,model-A,0.572,0.482,Q3,False,168,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0114,model-A,0.6429,0.222,Q1 clearest,False,254,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0115,model-A,0.7929,0.473,Q3,False,245,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0116,model-A,0.5583,0.5869,Q4 most ambiguous,False,160,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0117,model-A,0.5026,0.4672,Q3,False,122,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0118,model-A,0.715,0.3569,Q2,False,188,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0119,model-A,0.7032,0.7308,Q4 most ambiguous,False,275,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0120,model-A,0.6394,0.408,Q2,True,348,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0121,model-A,0.4892,0.47,Q3,False,230,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0122,model-A,0.7434,0.8457,Q4 most ambiguous,False,170,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0123,model-A,0.5718,0.5618,Q4 most ambiguous,False,174,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0124,model-A,0.7822,0.2183,Q1 clearest,False,233,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0125,model-A,0.585,0.3029,Q2,False,235,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0126,model-A,0.8487,0.3057,Q2,False,239,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0127,model-A,0.9671,0.4327,Q3,False,257,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0128,model-A,0.3121,0.8813,Q4 most ambiguous,False,310,2.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0129,model-A,0.4885,0.7401,Q4 most ambiguous,False,162,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0130,model-A,0.8698,0.7503,Q4 most ambiguous,False,284,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0131,model-A,0.7778,0.495,Q3,False,233,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0132,model-A,0.8136,0.5427,Q3,False,260,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0133,model-A,0.863,0.349,Q2,False,251,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0134,model-A,0.6327,0.7812,Q4 most ambiguous,False,292,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0135,model-A,0.5763,0.3842,Q2,False,266,7.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0136,model-A,0.6197,0.5874,Q4 most ambiguous,False,293,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0137,model-A,0.8594,0.1106,Q1 clearest,False,241,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0138,model-A,0.4813,0.4606,Q3,False,139,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0139,model-A,0.754,0.2603,Q1 clearest,False,301,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0140,model-A,0.766,0.0981,Q1 clearest,False,227,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0141,model-A,0.538,0.3246,Q2,True,410,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0142,model-A,0.5534,0.4201,Q3,False,183,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0143,model-A,0.945,0.1624,Q1 clearest,False,267,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0144,model-A,0.8453,0.4671,Q3,False,270,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0145,model-A,0.6501,0.71,Q4 most ambiguous,False,391,6.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0146,model-A,0.6994,0.6274,Q4 most ambiguous,False,278,5.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0147,model-A,0.6886,0.2402,Q1 clearest,False,236,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0148,model-A,0.5883,0.2132,Q1 clearest,True,345,8.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0149,model-A,0.7844,0.0784,Q1 clearest,False,168,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0150,model-A,0.8397,0.455,Q3,False,330,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0151,model-A,0.9015,0.1801,Q1 clearest,False,354,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0152,model-A,0.5647,0.3634,Q2,False,281,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0153,model-A,0.9062,0.448,Q3,False,306,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0154,model-A,0.7005,0.7087,Q4 most ambiguous,False,250,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0155,model-A,0.5223,0.464,Q3,True,410,5.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0156,model-A,0.9139,0.356,Q2,True,341,10.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0157,model-A,0.7511,0.0517,Q1 clearest,False,233,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0158,model-A,0.4848,0.2705,Q1 clearest,False,248,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0159,model-A,0.8677,0.4123,Q3,False,287,9.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0160,model-A,0.6768,0.5126,Q3,False,294,8.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0161,model-A,0.4612,0.4854,Q3,True,419,4.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0162,model-A,0.7561,0.377,Q2,False,331,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0163,model-A,0.5112,0.4157,Q3,True,395,6.0,False,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0164,model-A,0.7548,0.3533,Q2,False,327,7.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
it0165,model-A,0.9058,0.1866,Q1 clearest,False,323,10.0,True,"SYNTHETIC DATA -- generated by judge_audit.simulate, calibrated to published effect sizes. Not the output of any real model."
