pair_id,item_a,item_b,quality_gap,true_winner,winner_ab,winner_ba
pr0093,it0348,it0132,-0.2712,B,B,B
pr0094,it0270,it0222,0.0729,A,A,A
pr0095,it0325,it0224,-0.2054,B,B,B
pr0096,it0358,it0441,-0.1096,B,B,A
pr0097,it0356,it0358,0.316,A,A,B
pr0098,it0587,it0376,0.1461,A,B,A
pr0099,it0204,it0011,0.4553,A,A,A
pr0100,it0237,it0202,0.1727,A,A,B
pr0101,it0588,it0409,-0.2602,B,B,B
pr0102,it0330,it0532,0.0845,A,A,B
pr0103,it0103,it0389,0.1178,A,B,B
pr0104,it0562,it0364,-0.0109,B,A,B
pr0105,it0194,it0211,-0.0771,B,A,B
pr0106,it0466,it0027,0.0357,A,A,A
pr0107,it0531,it0044,-0.3592,B,B,B
pr0108,it0089,it0272,0.3901,A,A,B
pr0109,it0533,it0019,-0.5288,B,B,B
pr0110,it0460,it0456,-0.3553,B,B,B
pr0111,it0277,it0162,-0.0244,B,A,A
pr0112,it0268,it0204,-0.4317,B,B,B
pr0113,it0447,it0098,-0.1907,B,B,B
pr0114,it0215,it0240,0.3222,A,A,A
pr0115,it0244,it0323,-0.185,B,A,A
pr0116,it0560,it0153,-0.0093,B,A,B
pr0117,it0147,it0028,0.1991,A,A,A
pr0118,it0559,it0545,0.4027,A,A,B
pr0119,it0438,it0214,-0.1596,B,A,B
pr0120,it0424,it0147,-0.1924,B,B,B
pr0121,it0594,it0574,0.243,A,A,B
pr0122,it0531,it0389,-0.0203,B,A,B
pr0123,it0046,it0062,-0.4504,B,B,B
pr0124,it0423,it0449,-0.1083,B,A,B
pr0125,it0529,it0169,0.1097,A,B,B
pr0126,it0409,it0494,0.2043,A,A,B
pr0127,it0414,it0153,-0.2059,B,B,B
pr0128,it0425,it0004,-0.0679,B,A,B
pr0129,it0069,it0139,0.1525,A,A,B
pr0130,it0068,it0446,-0.0373,B,B,B
pr0131,it0053,it0109,0.1444,A,A,B
pr0132,it0103,it0303,-0.2327,B,B,B
pr0133,it0462,it0275,-0.3404,B,A,B
pr0134,it0591,it0153,-0.4221,B,B,B
pr0135,it0598,it0306,0.0567,A,B,B
pr0136,it0592,it0546,-0.0613,B,A,B
pr0137,it0560,it0506,0.3748,A,A,A
pr0138,it0212,it0486,-0.0216,B,A,B
pr0139,it0023,it0069,-0.4271,B,B,B
pr0140,it0058,it0119,-0.0783,B,B,B
pr0141,it0278,it0571,0.4864,A,B,A
pr0142,it0562,it0008,-0.2836,B,B,B
pr0143,it0105,it0356,-0.2203,B,B,B
pr0144,it0188,it0584,0.0919,A,A,B
pr0145,it0052,it0141,0.0456,A,A,B
pr0146,it0208,it0041,-0.1633,B,A,B
pr0147,it0057,it0535,-0.1498,B,B,B
pr0148,it0250,it0221,0.1257,A,A,B
pr0149,it0162,it0239,0.0137,A,B,A
pr0150,it0010,it0263,0.05,A,A,B
pr0151,it0377,it0486,-0.1354,B,A,A
pr0152,it0475,it0192,-0.124,B,A,B
pr0153,it0307,it0493,-0.2641,B,A,B
pr0154,it0014,it0583,-0.2964,B,B,B
pr0155,it0181,it0000,0.1108,A,A,B
pr0156,it0475,it0052,-0.2367,B,B,B
pr0157,it0130,it0579,-0.0382,B,A,A
pr0158,it0128,it0388,-0.5845,B,B,B
pr0159,it0344,it0301,-0.2642,B,B,B
pr0160,it0208,it0131,-0.2149,B,B,B
pr0161,it0250,it0585,-0.0596,B,A,A
pr0162,it0187,it0419,0.0229,A,A,A
pr0163,it0429,it0448,0.0721,A,A,B
pr0164,it0305,it0088,0.3665,A,A,A
pr0165,it0536,it0018,-0.318,B,A,B
pr0166,it0305,it0056,0.4032,A,A,A
pr0167,it0340,it0387,-0.0079,B,A,A
pr0168,it0478,it0213,-0.1603,B,B,B
pr0169,it0415,it0472,-0.0143,B,A,B
pr0170,it0522,it0216,-0.2194,B,B,B
pr0171,it0004,it0238,0.0384,A,A,A
pr0172,it0268,it0338,-0.1256,B,B,A
pr0173,it0158,it0352,0.0117,A,A,B
pr0174,it0065,it0426,0.2275,A,A,A
pr0175,it0116,it0014,0.014,A,B,B
pr0176,it0473,it0267,-0.2281,B,B,B
pr0177,it0320,it0098,-0.0111,B,B,A
pr0178,it0478,it0233,-0.3452,B,B,A
pr0179,it0312,it0423,-0.1627,B,B,B
pr0180,it0399,it0103,0.2522,A,B,A
pr0181,it0179,it0146,-0.2197,B,B,B
pr0182,it0446,it0526,0.2151,A,A,A
pr0183,it0316,it0242,-0.105,B,B,A
pr0184,it0130,it0096,-0.0326,B,A,B
pr0185,it0010,it0549,-0.1955,B,B,B
pr0186,it0029,it0455,-0.1605,B,A,A
pr0187,it0198,it0336,-0.0243,B,B,A
pr0188,it0542,it0571,0.3437,A,A,A
pr0189,it0412,it0401,0.0862,A,A,A
pr0190,it0148,it0372,0.0032,A,A,B
pr0191,it0076,it0377,0.2908,A,A,A
pr0192,it0112,it0089,-0.0169,B,A,B
pr0193,it0159,it0374,0.2467,A,A,B
pr0194,it0004,it0065,0.0546,A,A,A
pr0195,it0204,it0555,0.4117,A,A,A
pr0196,it0205,it0588,0.179,A,A,A
pr0197,it0141,it0272,0.0272,A,A,A
pr0198,it0369,it0188,-0.3351,B,B,A
pr0199,it0444,it0366,-0.0945,B,A,B
pr0200,it0467,it0399,-0.0249,B,A,B
pr0201,it0255,it0006,-0.1028,B,B,B
pr0202,it0350,it0340,0.0086,A,A,B
pr0203,it0597,it0265,0.1704,A,A,B
pr0204,it0576,it0267,0.1837,A,A,B
pr0205,it0342,it0130,-0.2096,B,B,B
pr0206,it0270,it0055,0.1669,A,A,A
pr0207,it0538,it0451,0.2887,A,A,A
pr0208,it0250,it0024,-0.06,B,A,B
pr0209,it0002,it0537,-0.0763,B,B,A
pr0210,it0262,it0415,0.5495,A,A,A
pr0211,it0199,it0154,0.0377,A,A,A
pr0212,it0450,it0074,-0.2476,B,B,B
pr0213,it0280,it0195,-0.2058,B,B,B
pr0214,it0046,it0516,0.3886,A,A,A
pr0215,it0098,it0223,-0.3579,B,B,B
pr0216,it0358,it0214,-0.3676,B,B,B
pr0217,it0001,it0465,-0.0674,B,A,B
pr0218,it0525,it0568,-0.1304,B,A,A
pr0219,it0310,it0410,0.1718,A,A,B
pr0220,it0217,it0145,0.0958,A,B,A
pr0221,it0125,it0127,-0.3821,B,B,B
pr0222,it0172,it0557,0.0515,A,B,B
pr0223,it0143,it0127,-0.0221,B,A,A
pr0224,it0142,it0236,-0.2583,B,A,B
pr0225,it0322,it0158,-0.0575,B,B,B
pr0226,it0412,it0584,0.0677,A,A,B
pr0227,it0567,it0545,0.1362,A,A,A
pr0228,it0300,it0585,-0.1511,B,B,B
pr0229,it0078,it0427,0.1825,A,A,A
pr0230,it0216,it0570,0.0982,A,A,B
pr0231,it0426,it0535,-0.3885,B,A,B
pr0232,it0085,it0444,-0.0263,B,A,A
pr0233,it0407,it0230,-0.1941,B,B,B
pr0234,it0168,it0157,0.204,A,B,A
pr0235,it0472,it0240,-0.2497,B,B,B
pr0236,it0076,it0205,-0.0931,B,B,A
pr0237,it0125,it0514,-0.0842,B,A,B
pr0238,it0041,it0410,0.1429,A,A,A
pr0239,it0149,it0581,0.0689,A,A,A
pr0240,it0544,it0050,0.2728,A,B,A
pr0241,it0092,it0365,-0.0325,B,A,A
pr0242,it0004,it0404,0.0839,A,B,A
pr0243,it0546,it0205,-0.217,B,A,B
pr0244,it0204,it0416,0.3348,A,B,A
pr0245,it0304,it0485,-0.051,B,B,B
pr0246,it0422,it0077,-0.3472,B,B,B
pr0247,it0399,it0418,-0.031,B,A,B
pr0248,it0579,it0499,0.7042,A,A,A
pr0249,it0503,it0139,-0.0317,B,A,A
pr0250,it0454,it0098,0.3174,A,A,A
pr0251,it0045,it0198,-0.0755,B,A,A
pr0252,it0060,it0318,-0.2444,B,B,B
pr0253,it0223,it0226,0.0979,A,A,A
pr0254,it0204,it0221,0.3562,A,A,A
pr0255,it0275,it0453,0.1479,A,A,B
pr0256,it0377,it0179,-0.0734,B,A,B
pr0257,it0436,it0442,0.1334,A,A,A
pr0258,it0517,it0515,-0.2336,B,B,B
pr0259,it0086,it0225,-0.1501,B,A,A
pr0260,it0423,it0514,-0.0079,B,A,A
pr0261,it0087,it0349,-0.1604,B,B,B
pr0262,it0229,it0101,0.0133,A,A,B
pr0263,it0396,it0183,-0.0144,B,A,B
pr0264,it0383,it0546,0.0458,A,B,B
pr0265,it0581,it0280,0.1082,A,B,B
pr0266,it0567,it0502,-0.2823,B,B,B
pr0267,it0227,it0444,-0.4122,B,B,B
pr0268,it0016,it0295,0.0188,A,A,A
pr0269,it0307,it0460,0.1313,A,A,B
pr0270,it0536,it0072,-0.0147,B,A,B
pr0271,it0341,it0315,0.1051,A,B,A
pr0272,it0479,it0186,-0.0063,B,A,B
pr0273,it0413,it0122,0.0279,A,B,A
pr0274,it0361,it0243,0.1827,A,A,B
pr0275,it0476,it0467,-0.4436,B,B,B
pr0276,it0225,it0160,0.0211,A,A,A
pr0277,it0492,it0150,-0.0499,B,A,B
pr0278,it0435,it0461,0.1475,A,A,A
pr0279,it0382,it0180,0.0082,A,A,A
pr0280,it0254,it0433,0.0864,A,A,B
pr0281,it0164,it0026,0.0638,A,B,B
pr0282,it0564,it0354,-0.2152,B,A,B
pr0283,it0109,it0599,-0.0119,B,B,B
pr0284,it0018,it0530,0.2074,A,A,A
pr0285,it0112,it0442,0.3239,A,A,A
pr0286,it0277,it0092,-0.0195,B,A,B
pr0287,it0033,it0524,0.0249,A,A,B
pr0288,it0557,it0334,0.2896,A,A,A
pr0289,it0079,it0116,-0.2428,B,B,B
pr0290,it0512,it0328,0.036,A,B,A
pr0291,it0082,it0328,-0.0479,B,A,B
pr0292,it0208,it0528,-0.3089,B,B,B
pr0293,it0536,it0439,-0.135,B,A,A
pr0294,it0006,it0155,0.0662,A,A,B
pr0295,it0304,it0389,0.1164,A,A,A
pr0296,it0494,it0362,0.2457,A,A,B
pr0297,it0366,it0555,0.3603,A,B,A
pr0298,it0325,it0516,0.4583,A,A,A
