order_id,run,judge_score,judge_score_recovered,was_blank,right_call,human_score,human_correct,photo_clarity,fluent_but_wrong,agent_version
ORD-40224,1,,,True,True,7.0,True,barely readable,False,agent-v2.3
ORD-40231,1,7.0,7.0,False,False,7.0,False,barely readable,False,agent-v2.3
ORD-40238,1,4.0,4.0,False,False,5.0,False,clear photo,False,agent-v2.3
ORD-40245,1,5.0,5.0,False,False,7.0,False,hard to read,False,agent-v2.3
ORD-40252,1,6.0,6.0,False,False,4.0,False,mostly clear,False,agent-v2.3
ORD-40259,1,5.0,5.0,False,True,6.0,False,mostly clear,True,agent-v2.3
ORD-40266,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-40273,1,5.0,5.0,False,True,6.0,True,hard to read,False,agent-v2.3
ORD-40280,1,7.0,7.0,False,True,6.0,True,mostly clear,False,agent-v2.3
ORD-40287,1,8.0,8.0,False,True,8.0,False,barely readable,True,agent-v2.3
ORD-40294,1,,6.0,True,False,10.0,False,barely readable,True,agent-v2.3
ORD-40301,1,7.0,7.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-40308,1,10.0,10.0,False,False,10.0,False,hard to read,True,agent-v2.3
ORD-40315,1,7.0,7.0,False,False,8.0,False,mostly clear,True,agent-v2.3
ORD-40322,1,5.0,5.0,False,False,5.0,False,clear photo,False,agent-v2.3
ORD-40329,1,,6.0,True,True,7.0,True,hard to read,False,agent-v2.3
ORD-40336,1,8.0,8.0,False,False,9.0,False,clear photo,True,agent-v2.3
ORD-40343,1,9.0,9.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40350,1,4.0,4.0,False,False,5.0,False,hard to read,False,agent-v2.3
ORD-40357,1,6.0,6.0,False,True,8.0,True,hard to read,False,agent-v2.3
ORD-40364,1,8.0,8.0,False,False,5.0,False,hard to read,False,agent-v2.3
ORD-40371,1,7.0,7.0,False,True,6.0,True,clear photo,False,agent-v2.3
ORD-40378,1,,5.0,True,False,4.0,False,barely readable,False,agent-v2.3
ORD-40385,1,5.0,5.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-40392,1,,,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-40399,1,10.0,10.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-40406,1,5.0,5.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-40413,1,7.0,7.0,False,False,5.0,False,mostly clear,False,agent-v2.3
ORD-40420,1,6.0,6.0,False,False,5.0,False,hard to read,False,agent-v2.3
ORD-40427,1,6.0,6.0,False,False,7.0,False,mostly clear,False,agent-v2.3
ORD-40434,1,9.0,9.0,False,False,9.0,False,barely readable,True,agent-v2.3
ORD-40441,1,7.0,7.0,False,True,10.0,True,mostly clear,False,agent-v2.3
ORD-40448,1,9.0,9.0,False,False,8.0,False,mostly clear,True,agent-v2.3
ORD-40455,1,6.0,6.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-40462,1,9.0,9.0,False,True,7.0,False,mostly clear,True,agent-v2.3
ORD-40469,1,7.0,7.0,False,True,6.0,True,mostly clear,False,agent-v2.3
ORD-40476,1,7.0,7.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40483,1,8.0,8.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40490,1,9.0,9.0,False,True,10.0,True,clear photo,False,agent-v2.3
ORD-40497,1,,10.0,True,False,9.0,False,barely readable,True,agent-v2.3
ORD-40504,1,,,True,False,6.0,False,barely readable,True,agent-v2.3
ORD-40511,1,,5.0,True,False,3.0,False,hard to read,False,agent-v2.3
ORD-40518,1,6.0,6.0,False,True,6.0,True,clear photo,False,agent-v2.3
ORD-40525,1,9.0,9.0,False,True,10.0,True,clear photo,False,agent-v2.3
ORD-40532,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-40539,1,8.0,8.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40546,1,9.0,9.0,False,True,10.0,True,mostly clear,False,agent-v2.3
ORD-40553,1,,6.0,True,False,3.0,False,barely readable,False,agent-v2.3
ORD-40560,1,7.0,7.0,False,True,6.0,True,mostly clear,False,agent-v2.3
ORD-40567,1,,6.0,True,True,4.0,False,mostly clear,False,agent-v2.3
ORD-40574,1,6.0,6.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-40581,1,6.0,6.0,False,True,6.0,True,hard to read,False,agent-v2.3
ORD-40588,1,8.0,8.0,False,False,8.0,False,clear photo,True,agent-v2.3
ORD-40595,1,8.0,8.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-40602,1,6.0,6.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-40609,1,6.0,6.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-40616,1,,3.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-40623,1,9.0,9.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40630,1,,8.0,True,False,10.0,False,mostly clear,True,agent-v2.3
ORD-40637,1,7.0,7.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-40644,1,,8.0,True,False,9.0,False,hard to read,True,agent-v2.3
ORD-40651,1,9.0,9.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-40658,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-40665,1,,9.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-40672,1,10.0,10.0,False,True,10.0,False,mostly clear,True,agent-v2.3
ORD-40679,1,8.0,8.0,False,True,9.0,True,mostly clear,False,agent-v2.3
ORD-40686,1,6.0,6.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-40693,1,7.0,7.0,False,True,9.0,False,mostly clear,True,agent-v2.3
ORD-40700,1,6.0,6.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-40707,1,5.0,5.0,False,False,5.0,False,barely readable,False,agent-v2.3
ORD-40714,1,9.0,9.0,False,False,8.0,False,hard to read,True,agent-v2.3
ORD-40721,1,6.0,6.0,False,True,7.0,False,clear photo,False,agent-v2.3
ORD-40728,1,2.0,2.0,False,False,3.0,False,mostly clear,False,agent-v2.3
ORD-40735,1,8.0,8.0,False,False,5.0,False,clear photo,True,agent-v2.3
ORD-40742,1,7.0,7.0,False,True,10.0,True,mostly clear,False,agent-v2.3
ORD-40749,1,4.0,4.0,False,False,4.0,False,mostly clear,False,agent-v2.3
ORD-40756,1,5.0,5.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-40763,1,5.0,5.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-40770,1,,7.0,True,False,6.0,False,mostly clear,False,agent-v2.3
ORD-40777,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-40784,1,8.0,8.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-40791,1,6.0,6.0,False,False,6.0,False,hard to read,False,agent-v2.3
ORD-40798,1,6.0,6.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-40805,1,7.0,7.0,False,True,8.0,True,hard to read,False,agent-v2.3
ORD-40812,1,,6.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-40819,1,4.0,4.0,False,False,5.0,False,hard to read,False,agent-v2.3
ORD-40826,1,6.0,6.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-40833,1,,7.0,True,True,6.0,True,barely readable,False,agent-v2.3
ORD-40840,1,,10.0,True,False,7.0,False,mostly clear,True,agent-v2.3
ORD-40847,1,6.0,6.0,False,False,4.0,False,hard to read,False,agent-v2.3
ORD-40854,1,,,True,True,7.0,True,barely readable,False,agent-v2.3
ORD-40861,1,8.0,8.0,False,False,6.0,False,barely readable,False,agent-v2.3
ORD-40868,1,7.0,7.0,False,False,9.0,True,clear photo,False,agent-v2.3
ORD-40875,1,6.0,6.0,False,False,6.0,False,mostly clear,False,agent-v2.3
ORD-40882,1,8.0,8.0,False,True,9.0,True,mostly clear,False,agent-v2.3
ORD-40889,1,8.0,8.0,False,False,9.0,True,hard to read,False,agent-v2.3
ORD-40896,1,,,True,False,2.0,False,barely readable,False,agent-v2.3
ORD-40903,1,,6.0,True,False,4.0,False,barely readable,False,agent-v2.3
ORD-40910,1,,,True,True,9.0,True,barely readable,False,agent-v2.3
ORD-40917,1,,8.0,True,True,8.0,True,hard to read,False,agent-v2.3
ORD-40924,1,,8.0,True,True,9.0,True,hard to read,False,agent-v2.3
ORD-40931,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-40938,1,,5.0,True,True,6.0,True,barely readable,False,agent-v2.3
ORD-40945,1,6.0,6.0,False,False,7.0,False,mostly clear,False,agent-v2.3
ORD-40952,1,,8.0,True,False,6.0,False,barely readable,False,agent-v2.3
ORD-40959,1,8.0,8.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-40966,1,,5.0,True,True,4.0,False,hard to read,False,agent-v2.3
ORD-40973,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-40980,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-40987,1,8.0,8.0,False,False,6.0,False,mostly clear,True,agent-v2.3
ORD-40994,1,7.0,7.0,False,False,5.0,False,hard to read,False,agent-v2.3
ORD-41001,1,8.0,8.0,False,True,10.0,True,clear photo,False,agent-v2.3
ORD-41008,1,,6.0,True,True,9.0,True,hard to read,False,agent-v2.3
ORD-41015,1,,5.0,True,False,6.0,True,barely readable,False,agent-v2.3
ORD-41022,1,8.0,8.0,False,True,5.0,True,barely readable,False,agent-v2.3
ORD-41029,1,6.0,6.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41036,1,8.0,8.0,False,False,8.0,False,clear photo,True,agent-v2.3
ORD-41043,1,7.0,7.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-41050,1,6.0,6.0,False,True,10.0,True,hard to read,False,agent-v2.3
ORD-41057,1,9.0,9.0,False,True,10.0,True,clear photo,False,agent-v2.3
ORD-41064,1,,6.0,True,False,6.0,False,mostly clear,False,agent-v2.3
ORD-41071,1,8.0,8.0,False,True,10.0,True,hard to read,False,agent-v2.3
ORD-41078,1,9.0,9.0,False,True,9.0,True,barely readable,False,agent-v2.3
ORD-41085,1,8.0,8.0,False,False,5.0,False,hard to read,True,agent-v2.3
ORD-41092,1,10.0,10.0,False,False,10.0,False,mostly clear,True,agent-v2.3
ORD-41099,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41106,1,5.0,5.0,False,False,4.0,False,clear photo,False,agent-v2.3
ORD-41113,1,7.0,7.0,False,True,9.0,True,hard to read,False,agent-v2.3
ORD-41120,1,,6.0,True,True,8.0,True,hard to read,False,agent-v2.3
ORD-41127,1,7.0,7.0,False,False,4.0,False,hard to read,True,agent-v2.3
ORD-41134,1,6.0,6.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41141,1,8.0,8.0,False,True,6.0,False,hard to read,True,agent-v2.3
ORD-41148,1,5.0,5.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41155,1,9.0,9.0,False,True,10.0,True,clear photo,False,agent-v2.3
ORD-41162,1,8.0,8.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41169,1,9.0,9.0,False,False,9.0,True,clear photo,False,agent-v2.3
ORD-41176,1,9.0,9.0,False,True,10.0,True,hard to read,False,agent-v2.3
ORD-41183,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41190,1,7.0,7.0,False,True,9.0,True,barely readable,False,agent-v2.3
ORD-41197,1,7.0,7.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-41204,1,,,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-41211,1,,6.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-41218,1,6.0,6.0,False,False,6.0,False,barely readable,True,agent-v2.3
ORD-41225,1,10.0,10.0,False,False,9.0,False,mostly clear,True,agent-v2.3
ORD-41232,1,7.0,7.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-41239,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41246,1,5.0,5.0,False,False,6.0,False,mostly clear,False,agent-v2.3
ORD-41253,1,4.0,4.0,False,False,4.0,False,mostly clear,False,agent-v2.3
ORD-41260,1,9.0,9.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41267,1,,8.0,True,False,9.0,False,hard to read,True,agent-v2.3
ORD-41274,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41281,1,7.0,7.0,False,True,10.0,True,mostly clear,False,agent-v2.3
ORD-41288,1,5.0,5.0,False,False,5.0,False,mostly clear,False,agent-v2.3
ORD-41295,1,,7.0,True,True,6.0,False,hard to read,False,agent-v2.3
ORD-41302,1,7.0,7.0,False,False,9.0,True,clear photo,False,agent-v2.3
ORD-41309,1,,7.0,True,True,9.0,True,hard to read,False,agent-v2.3
ORD-41316,1,8.0,8.0,False,False,9.0,True,mostly clear,False,agent-v2.3
ORD-41323,1,5.0,5.0,False,False,4.0,False,clear photo,False,agent-v2.3
ORD-41330,1,5.0,5.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-41337,1,5.0,5.0,False,True,5.0,False,mostly clear,False,agent-v2.3
ORD-41344,1,,6.0,True,False,4.0,False,barely readable,False,agent-v2.3
ORD-41351,1,,10.0,True,False,9.0,False,hard to read,True,agent-v2.3
ORD-41358,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41365,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41372,1,,7.0,True,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41379,1,8.0,8.0,False,True,9.0,True,hard to read,False,agent-v2.3
ORD-41386,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41393,1,,7.0,True,True,9.0,True,barely readable,False,agent-v2.3
ORD-41400,1,5.0,5.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-41407,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41414,1,6.0,6.0,False,False,5.0,False,barely readable,False,agent-v2.3
ORD-41421,1,8.0,8.0,False,True,10.0,True,hard to read,False,agent-v2.3
ORD-41428,1,9.0,9.0,False,False,10.0,True,clear photo,False,agent-v2.3
ORD-41435,1,5.0,5.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41442,1,,7.0,True,True,7.0,True,barely readable,False,agent-v2.3
ORD-41449,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41456,1,6.0,6.0,False,False,6.0,False,clear photo,False,agent-v2.3
ORD-41463,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41470,1,8.0,8.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-41477,1,7.0,7.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-41484,1,5.0,5.0,False,False,5.0,False,mostly clear,True,agent-v2.3
ORD-41491,1,7.0,7.0,False,False,7.0,False,mostly clear,False,agent-v2.3
ORD-41498,1,7.0,7.0,False,True,9.0,True,mostly clear,False,agent-v2.3
ORD-41505,1,,8.0,True,True,9.0,True,hard to read,False,agent-v2.3
ORD-41512,1,,10.0,True,False,9.0,False,barely readable,True,agent-v2.3
ORD-41519,1,8.0,8.0,False,True,5.0,True,clear photo,False,agent-v2.3
ORD-41526,1,7.0,7.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-41533,1,5.0,5.0,False,True,6.0,False,barely readable,False,agent-v2.3
ORD-41540,1,,6.0,True,True,7.0,True,hard to read,False,agent-v2.3
ORD-41547,1,6.0,6.0,False,True,6.0,True,hard to read,False,agent-v2.3
ORD-41554,1,5.0,5.0,False,True,6.0,True,barely readable,False,agent-v2.3
ORD-41561,1,8.0,8.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41568,1,7.0,7.0,False,False,7.0,True,hard to read,False,agent-v2.3
ORD-41575,1,,8.0,True,True,6.0,True,hard to read,False,agent-v2.3
ORD-41582,1,8.0,8.0,False,False,8.0,True,mostly clear,False,agent-v2.3
ORD-41589,1,4.0,4.0,False,False,5.0,False,hard to read,False,agent-v2.3
ORD-41596,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41603,1,,6.0,True,False,4.0,False,hard to read,True,agent-v2.3
ORD-41610,1,8.0,8.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41617,1,,7.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-41624,1,5.0,5.0,False,False,7.0,False,barely readable,False,agent-v2.3
ORD-41631,1,8.0,8.0,False,False,8.0,True,clear photo,False,agent-v2.3
ORD-41638,1,,5.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-41645,1,,6.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-41652,1,7.0,7.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-41659,1,,7.0,True,True,6.0,True,barely readable,False,agent-v2.3
ORD-41666,1,,7.0,True,True,6.0,True,barely readable,False,agent-v2.3
ORD-41673,1,7.0,7.0,False,True,9.0,True,mostly clear,False,agent-v2.3
ORD-41680,1,7.0,7.0,False,False,6.0,False,barely readable,False,agent-v2.3
ORD-41687,1,8.0,8.0,False,False,9.0,True,clear photo,False,agent-v2.3
ORD-41694,1,,6.0,True,True,9.0,True,barely readable,False,agent-v2.3
ORD-41701,1,8.0,8.0,False,False,5.0,False,clear photo,True,agent-v2.3
ORD-41708,1,4.0,4.0,False,False,4.0,False,hard to read,False,agent-v2.3
ORD-41715,1,9.0,9.0,False,True,10.0,True,clear photo,False,agent-v2.3
ORD-41722,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41729,1,8.0,8.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-41736,1,9.0,9.0,False,True,10.0,True,hard to read,False,agent-v2.3
ORD-41743,1,6.0,6.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-41750,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41757,1,8.0,8.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-41764,1,5.0,5.0,False,True,9.0,True,barely readable,False,agent-v2.3
ORD-41771,1,8.0,8.0,False,False,6.0,False,barely readable,True,agent-v2.3
ORD-41778,1,8.0,8.0,False,False,10.0,False,clear photo,True,agent-v2.3
ORD-41785,1,4.0,4.0,False,False,4.0,False,barely readable,False,agent-v2.3
ORD-41792,1,7.0,7.0,False,True,7.0,True,hard to read,False,agent-v2.3
ORD-41799,1,5.0,5.0,False,False,6.0,False,hard to read,False,agent-v2.3
ORD-41806,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-41813,1,5.0,5.0,False,True,5.0,False,clear photo,False,agent-v2.3
ORD-41820,1,,7.0,True,False,4.0,False,hard to read,False,agent-v2.3
ORD-41827,1,7.0,7.0,False,True,8.0,True,hard to read,False,agent-v2.3
ORD-41834,1,8.0,8.0,False,True,9.0,True,clear photo,False,agent-v2.3
ORD-41841,1,7.0,7.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41848,1,,6.0,True,False,4.0,False,hard to read,False,agent-v2.3
ORD-41855,1,4.0,4.0,False,False,4.0,False,mostly clear,False,agent-v2.3
ORD-41862,1,,6.0,True,True,6.0,True,hard to read,False,agent-v2.3
ORD-41869,1,7.0,7.0,False,True,6.0,False,barely readable,False,agent-v2.3
ORD-41876,1,,7.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-41883,1,7.0,7.0,False,False,5.0,False,barely readable,False,agent-v2.3
ORD-41890,1,7.0,7.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41897,1,9.0,9.0,False,False,9.0,False,clear photo,True,agent-v2.3
ORD-41904,1,,7.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-41911,1,8.0,8.0,False,False,5.0,False,mostly clear,True,agent-v2.3
ORD-41918,1,7.0,7.0,False,True,6.0,True,clear photo,False,agent-v2.3
ORD-41925,1,7.0,7.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41932,1,,,True,True,4.0,False,barely readable,False,agent-v2.3
ORD-41939,1,6.0,6.0,False,True,8.0,True,barely readable,False,agent-v2.3
ORD-41946,1,7.0,7.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41953,1,6.0,6.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-41960,1,5.0,5.0,False,False,6.0,False,mostly clear,False,agent-v2.3
ORD-41967,1,8.0,8.0,False,True,8.0,True,clear photo,False,agent-v2.3
ORD-41974,1,,7.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-41981,1,7.0,7.0,False,True,6.0,True,barely readable,False,agent-v2.3
ORD-41988,1,6.0,6.0,False,False,6.0,False,hard to read,False,agent-v2.3
ORD-41995,1,8.0,8.0,False,True,7.0,True,barely readable,False,agent-v2.3
ORD-42002,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.3
ORD-42009,1,,7.0,True,True,8.0,True,barely readable,False,agent-v2.3
ORD-42016,1,8.0,8.0,False,True,6.0,False,clear photo,True,agent-v2.3
ORD-42023,1,7.0,7.0,False,True,7.0,True,mostly clear,False,agent-v2.3
ORD-42030,1,7.0,7.0,False,True,7.0,True,clear photo,False,agent-v2.3
ORD-42037,1,,5.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-42044,1,10.0,10.0,False,False,9.0,False,clear photo,True,agent-v2.3
ORD-42051,1,8.0,8.0,False,False,7.0,True,clear photo,False,agent-v2.3
ORD-42058,1,,,True,True,7.0,True,barely readable,False,agent-v2.3
ORD-42065,1,6.0,6.0,False,True,8.0,True,hard to read,False,agent-v2.3
ORD-42072,1,,3.0,True,False,5.0,False,barely readable,False,agent-v2.3
ORD-42079,1,,6.0,True,True,8.0,True,hard to read,False,agent-v2.3
ORD-42086,1,9.0,9.0,False,False,9.0,False,barely readable,True,agent-v2.3
ORD-42093,1,,7.0,True,True,9.0,True,barely readable,False,agent-v2.3
ORD-42100,1,6.0,6.0,False,True,7.0,True,mostly clear,False,agent-v2.2
ORD-42107,1,6.0,6.0,False,False,5.0,False,barely readable,False,agent-v2.2
ORD-42114,1,,7.0,True,True,7.0,True,barely readable,False,agent-v2.2
ORD-42121,1,10.0,10.0,False,False,10.0,False,hard to read,True,agent-v2.2
ORD-42128,1,6.0,6.0,False,False,6.0,False,barely readable,False,agent-v2.2
ORD-42135,1,9.0,9.0,False,True,9.0,True,clear photo,False,agent-v2.2
ORD-42142,1,7.0,7.0,False,True,6.0,True,clear photo,False,agent-v2.2
ORD-42149,1,5.0,5.0,False,False,5.0,False,clear photo,False,agent-v2.2
ORD-42156,1,5.0,5.0,False,True,4.0,False,hard to read,False,agent-v2.2
ORD-42163,1,5.0,5.0,False,False,2.0,False,barely readable,False,agent-v2.2
ORD-42170,1,7.0,7.0,False,True,8.0,True,mostly clear,False,agent-v2.2
ORD-42177,1,4.0,4.0,False,True,2.0,False,clear photo,False,agent-v2.2
ORD-42184,1,,5.0,True,True,7.0,False,hard to read,False,agent-v2.2
ORD-42191,1,9.0,9.0,False,True,10.0,True,hard to read,False,agent-v2.2
ORD-42198,1,8.0,8.0,False,True,7.0,True,hard to read,False,agent-v2.2
ORD-42205,1,,6.0,True,False,6.0,False,hard to read,True,agent-v2.2
ORD-42212,1,,7.0,True,True,10.0,True,hard to read,False,agent-v2.2
ORD-42219,1,,8.0,True,False,7.0,True,hard to read,False,agent-v2.2
ORD-42226,1,8.0,8.0,False,True,9.0,True,mostly clear,False,agent-v2.2
ORD-42233,1,8.0,8.0,False,False,6.0,False,mostly clear,True,agent-v2.2
ORD-42240,1,,,True,False,6.0,False,barely readable,False,agent-v2.2
ORD-42247,1,8.0,8.0,False,True,7.0,True,mostly clear,False,agent-v2.2
ORD-42254,1,6.0,6.0,False,True,4.0,False,hard to read,False,agent-v2.2
ORD-42261,1,8.0,8.0,False,False,6.0,False,mostly clear,True,agent-v2.2
ORD-42268,1,6.0,6.0,False,True,7.0,False,hard to read,False,agent-v2.2
ORD-42275,1,6.0,6.0,False,False,6.0,False,mostly clear,False,agent-v2.2
ORD-42282,1,10.0,10.0,False,True,9.0,False,mostly clear,True,agent-v2.2
ORD-42289,1,5.0,5.0,False,False,5.0,False,hard to read,False,agent-v2.2
ORD-42296,1,7.0,7.0,False,True,8.0,True,hard to read,False,agent-v2.2
ORD-42303,1,9.0,9.0,False,True,9.0,True,clear photo,False,agent-v2.2
ORD-42310,1,7.0,7.0,False,True,7.0,True,barely readable,False,agent-v2.2
ORD-42317,1,7.0,7.0,False,False,6.0,False,clear photo,False,agent-v2.2
ORD-42324,1,6.0,6.0,False,False,6.0,False,mostly clear,False,agent-v2.2
ORD-42331,1,8.0,8.0,False,True,8.0,True,mostly clear,False,agent-v2.2
